id	type	name	file
2:91	icon	Group 1	group-1-2-91.svg
2:98	icon	Iconly/Curved/Logout	iconly-curved-logout-2-98.svg
4:152	icon	Iconly/Two-tone/Arrow - Down 2	iconly-two-tone-arrow-down-2-4-152.svg
4:201	icon	shopping 1	shopping-1-4-201.svg
4:209	icon	heart 1	heart-1-4-209.svg
4:392	icon	Iconly/Curved/Arrow - Right 2	iconly-curved-arrow-right-2-4-392.svg
5:31	icon	Iconly/Light-Outline/Arrow - Right	iconly-light-outline-arrow-right-5-31.svg
5:45	icon	Iconly/Light-Outline/Arrow - Right	iconly-light-outline-arrow-right-5-45.svg
5:54	icon	Iconly/Light-Outline/Arrow - Right	iconly-light-outline-arrow-right-5-54.svg
5:72	icon	Iconly/Light-Outline/Arrow - Right	iconly-light-outline-arrow-right-5-72.svg
5:99	icon	Iconly/Curved/Arrow - Right	iconly-curved-arrow-right-5-99.svg
5:118	icon	Iconly/Curved/Arrow - Right	iconly-curved-arrow-right-5-118.svg
5:2378	icon	Iconly/Curved/Location	iconly-curved-location-5-2378.svg
5:2386	icon	Iconly/Curved/Calling	iconly-curved-calling-5-2386.svg
5:2392	icon	Iconly/Curved/Message	iconly-curved-message-5-2392.svg
5:2408	icon	Linkedin	linkedin-5-2408.svg
5:2409	icon	Instagram	instagram-5-2409.svg
5:2410	icon	Facebook	facebook-5-2410.svg
5:2411	icon	Twitter	twitter-5-2411.svg
